id;text;label
1;The government announced new social reforms to aid the working class.;izquierda
2;A call for reduced taxes on large corporations was made today.;derecha
3;Analysts suggest a balanced approach is needed for immigration policy.;centro
4;Protesters demand stronger environmental protections and labor rights.;izquierda
5;The economic growth was attributed to deregulation and market freedom.;derecha
6;A proposal to improve healthcare access for all citizens was introduced.;izquierda
7;The ministry emphasized national unity and moderate economic policies.;centro
8;Officials promote foreign investment and less government interference.;derecha
9;Experts urge careful consideration of all sides in education reform.;centro
10;Politicians push for higher minimum wages and rent controls.;izquierda
